month	day	year	date	cohort	max	min
1	1	2024	2024-01-01	f22	270	202
1	1	2024	2024-01-01	f23	40	0
1	1	2024	2024-01-01	lf	201	156
1	1	2024	2024-01-01	s23	57	41
1	1	2024	2024-01-01	w23	155	58
1	2	2024	2024-01-02	f22	270	203
1	2	2024	2024-01-02	f23	40	0
1	2	2024	2024-01-02	lf	202	157
1	2	2024	2024-01-02	s23	58	41
1	2	2024	2024-01-02	w23	156	59
1	3	2024	2024-01-03	f22	270	205
1	3	2024	2024-01-03	f23	40	0
1	3	2024	2024-01-03	lf	204	158
1	3	2024	2024-01-03	s23	58	41
1	3	2024	2024-01-03	w23	157	59
1	4	2024	2024-01-04	f22	270	206
1	4	2024	2024-01-04	f23	40	0
1	4	2024	2024-01-04	lf	205	159
1	4	2024	2024-01-04	s23	59	41
1	4	2024	2024-01-04	w23	158	60
1	5	2024	2024-01-05	f22	270	207
1	5	2024	2024-01-05	f23	41	0
1	5	2024	2024-01-05	lf	206	161
1	5	2024	2024-01-05	s23	59	42
1	5	2024	2024-01-05	w23	160	60
1	6	2024	2024-01-06	f22	270	209
1	6	2024	2024-01-06	f23	41	0
1	6	2024	2024-01-06	lf	208	162
1	6	2024	2024-01-06	s23	60	42
1	6	2024	2024-01-06	w23	161	61
1	7	2024	2024-01-07	f22	270	210
1	7	2024	2024-01-07	f23	41	0
1	7	2024	2024-01-07	lf	209	163
1	7	2024	2024-01-07	s23	60	42
1	7	2024	2024-01-07	w23	162	61
1	8	2024	2024-01-08	f22	270	211
1	8	2024	2024-01-08	f23	42	0
1	8	2024	2024-01-08	lf	210	165
1	8	2024	2024-01-08	s23	61	43
1	8	2024	2024-01-08	w23	164	62
1	9	2024	2024-01-09	f22	270	213
1	9	2024	2024-01-09	f23	42	0
1	9	2024	2024-01-09	lf	212	166
1	9	2024	2024-01-09	s23	61	43
1	9	2024	2024-01-09	w23	165	62
1	10	2024	2024-01-10	f22	270	214
1	10	2024	2024-01-10	f23	42	0
1	10	2024	2024-01-10	lf	213	167
1	10	2024	2024-01-10	s23	62	43
1	10	2024	2024-01-10	w23	166	63
1	11	2024	2024-01-11	f22	270	216
1	11	2024	2024-01-11	f23	42	0
1	11	2024	2024-01-11	lf	215	169
1	11	2024	2024-01-11	s23	62	43
