month	day	year	date	cohort	max	min
1	1	2023	2023-01-01	f21	270	202
1	1	2023	2023-01-01	f22	40	0
1	1	2023	2023-01-01	lf22	201	156
1	1	2023	2023-01-01	s22	57	41
1	1	2023	2023-01-01	w22	155	58
1	2	2023	2023-01-02	f21	270	203
1	2	2023	2023-01-02	f22	40	0
1	2	2023	2023-01-02	lf22	202	157
1	2	2023	2023-01-02	s22	58	41
1	2	2023	2023-01-02	w22	156	59
1	3	2023	2023-01-03	f21	270	205
1	3	2023	2023-01-03	f22	40	0
1	3	2023	2023-01-03	lf22	204	158
1	3	2023	2023-01-03	s22	58	41
1	3	2023	2023-01-03	w22	157	59
1	4	2023	2023-01-04	f21	270	206
1	4	2023	2023-01-04	f22	40	0
1	4	2023	2023-01-04	lf22	205	159
1	4	2023	2023-01-04	s22	59	41
1	4	2023	2023-01-04	w22	158	60
1	5	2023	2023-01-05	f21	270	207
1	5	2023	2023-01-05	f22	41	0
1	5	2023	2023-01-05	lf22	206	161
1	5	2023	2023-01-05	s22	59	42
1	5	2023	2023-01-05	w22	160	60
1	6	2023	2023-01-06	f21	270	209
1	6	2023	2023-01-06	f22	41	0
1	6	2023	2023-01-06	lf22	208	162
1	6	2023	2023-01-06	s22	60	42
1	6	2023	2023-01-06	w22	161	61
1	7	2023	2023-01-07	f21	270	210
1	7	2023	2023-01-07	f22	41	0
1	7	2023	2023-01-07	lf22	209	163
1	7	2023	2023-01-07	s22	60	42
1	7	2023	2023-01-07	w22	162	61
1	8	2023	2023-01-08	f21	270	211
1	8	2023	2023-01-08	f22	42	0
1	8	2023	2023-01-08	lf22	210	165
1	8	2023	2023-01-08	s22	61	43
1	8	2023	2023-01-08	w22	164	62
1	9	2023	2023-01-09	f21	270	213
1	9	2023	2023-01-09	f22	42	0
1	9	2023	2023-01-09	lf22	212	166
1	9	2023	2023-01-09	s22	61	43
1	9	2023	2023-01-09	w22	165	62
1	10	2023	2023-01-10	f21	270	214
1	10	2023	2023-01-10	f22	42	0
1	10	2023	2023-01-10	lf22	213	167
1	10	2023	2023-01-10	s22	62	43
1	10	2023	2023-01-10	w22	166	63
1	11	2023	2023-01-11	f21	270	216
1	11	2023	2023-01-11	f22	42	0
1	11	2023	2023-01-11	lf22	215	169
1	11	2023	2023-01-11	s22	62	43
1	11	2023	2023-01-11	w22	168	63
1	12	2023	2023-01-12	f21	270	217
1	12	2023	2023-01-12	f22	43	0
1	12	2023	2023-01-12	lf22	216	170
1	12	2023	2023-01-12	s22	63	44
1	12	2023	2023-01-12	w22	169	64
1	13	2023	2023-01-13	f21	270	218
1	13	2023	2023-01-13	f22	43	0
1	13	2023	2023-01-13	lf22	217	172
1	13	2023	2023-01-13	s22	63	44
1	13	2023	2023-01-13	w22	171	64
1	14	2023	2023-01-14	f21	270	220
1	14	2023	2023-01-14	f22	43	0
1	14	2023	2023-01-14	lf22	219	173
1	14	2023	2023-01-14	s22	64	44
1	14	2023	2023-01-14	w22	172	65
1	15	2023	2023-01-15	f21	270	221
1	15	2023	2023-01-15	f22	44	0
1	15	2023	2023-01-15	lf22	220	174
1	15	2023	2023-01-15	s22	64	45
1	15	2023	2023-01-15	w22	173	65
1	16	2023	2023-01-16	f21	270	223
1	16	2023	2023-01-16	f22	44	0
1	16	2023	2023-01-16	lf22	222	176
1	16	2023	2023-01-16	s22	65	45
1	16	2023	2023-01-16	w22	175	66
1	17	2023	2023-01-17	f21	270	224
1	17	2023	2023-01-17	f22	44	0
1	17	2023	2023-01-17	lf22	223	177
1	17	2023	2023-01-17	s22	65	45
1	17	2023	2023-01-17	w22	176	66
1	18	2023	2023-01-18	f21	270	226
1	18	2023	2023-01-18	f22	44	0
1	18	2023	2023-01-18	lf22	225	179
1	18	2023	2023-01-18	s22	66	45
1	18	2023	2023-01-18	w22	178	67
1	19	2023	2023-01-19	f21	270	227
1	19	2023	2023-01-19	f22	45	0
1	19	2023	2023-01-19	lf22	226	180
1	19	2023	2023-01-19	s22	67	46
1	19	2023	2023-01-19	w22	179	68
1	20	2023	2023-01-20	f21	270	229
1	20	2023	2023-01-20	f22	45	0
1	20	2023	2023-01-20	lf22	228	182
1	20	2023	2023-01-20	s22	67	46
1	20	2023	2023-01-20	w22	181	68
1	21	2023	2023-01-21	f21	270	230
1	21	2023	2023-01-21	f22	45	0
1	21	2023	2023-01-21	lf22	229	183
1	21	2023	2023-01-21	s22	68	46
1	21	2023	2023-01-21	w22	182	69
1	22	2023	2023-01-22	f21	270	232
1	22	2023	2023-01-22	f22	46	0
1	22	2023	2023-01-22	lf22	231	185
1	22	2023	2023-01-22	s22	68	47
1	22	2023	2023-01-22	w22	184	69
1	23	2023	2023-01-23	f21	270	233
1	23	2023	2023-01-23	f22	46	0
1	23	2023	2023-01-23	lf22	232	186
1	23	2023	2023-01-23	s22	69	47
1	23	2023	2023-01-23	w22	185	70
1	24	2023	2023-01-24	f21	270	235
1	24	2023	2023-01-24	f22	46	0
1	24	2023	2023-01-24	lf22	234	188
1	24	2023	2023-01-24	s22	69	47
1	24	2023	2023-01-24	w22	187	70
1	25	2023	2023-01-25	f21	270	236
1	25	2023	2023-01-25	f22	47	0
1	25	2023	2023-01-25	lf22	235	189
1	25	2023	2023-01-25	s22	70	48
1	25	2023	2023-01-25	w22	188	71
1	26	2023	2023-01-26	f21	270	238
1	26	2023	2023-01-26	f22	47	0
1	26	2023	2023-01-26	lf22	237	191
1	26	2023	2023-01-26	s22	70	48
1	26	2023	2023-01-26	w22	190	71
1	27	2023	2023-01-27	f21	270	239
1	27	2023	2023-01-27	f22	47	0
1	27	2023	2023-01-27	lf22	238	192
1	27	2023	2023-01-27	s22	71	48
1	27	2023	2023-01-27	w22	191	72
1	28	2023	2023-01-28	f21	270	241
1	28	2023	2023-01-28	f22	48	0
1	28	2023	2023-01-28	lf22	240	194
1	28	2023	2023-01-28	s22	72	49
1	28	2023	2023-01-28	w22	193	73
1	29	2023	2023-01-29	f21	270	243
1	29	2023	2023-01-29	f22	48	0
1	29	2023	2023-01-29	lf22	242	195
1	29	2023	2023-01-29	s22	72	49
1	29	2023	2023-01-29	w22	194	73
1	30	2023	2023-01-30	f21	270	244
1	30	2023	2023-01-30	f22	48	0
1	30	2023	2023-01-30	lf22	243	197
1	30	2023	2023-01-30	s22	73	49
1	30	2023	2023-01-30	w22	196	74
1	31	2023	2023-01-31	f21	270	246
1	31	2023	2023-01-31	f22	49	0
1	31	2023	2023-01-31	lf22	245	199
1	31	2023	2023-01-31	s22	73	50
1	31	2023	2023-01-31	w22	198	74
2	1	2023	2023-02-01	f21	270	247
2	1	2023	2023-02-01	f22	49	0
2	1	2023	2023-02-01	lf22	246	200
2	1	2023	2023-02-01	s22	74	50
2	1	2023	2023-02-01	w22	199	75
2	2	2023	2023-02-02	f21	270	249
2	2	2023	2023-02-02	f22	49	0
2	2	2023	2023-02-02	lf22	248	202
2	2	2023	2023-02-02	s22	75	50
2	2	2023	2023-02-02	w22	201	76
2	3	2023	2023-02-03	f21	270	251
2	3	2023	2023-02-03	f22	49	0
2	3	2023	2023-02-03	lf22	250	203
2	3	2023	2023-02-03	s22	75	50
2	3	2023	2023-02-03	w22	202	76
2	4	2023	2023-02-04	f21	270	252
2	4	2023	2023-02-04	f22	50	0
2	4	2023	2023-02-04	lf22	251	205
2	4	2023	2023-02-04	s22	76	51
2	4	2023	2023-02-04	w22	204	77
2	5	2023	2023-02-05	f21	270	254
2	5	2023	2023-02-05	f22	50	0
2	5	2023	2023-02-05	lf22	253	207
2	5	2023	2023-02-05	s22	77	51
2	5	2023	2023-02-05	w22	206	78
2	6	2023	2023-02-06	f21	270	256
2	6	2023	2023-02-06	f22	50	0
2	6	2023	2023-02-06	lf22	255	208
2	6	2023	2023-02-06	s22	77	51
2	6	2023	2023-02-06	w22	207	78
2	7	2023	2023-02-07	f21	270	257
2	7	2023	2023-02-07	f22	51	0
2	7	2023	2023-02-07	lf22	256	210
2	7	2023	2023-02-07	s22	78	52
2	7	2023	2023-02-07	w22	209	79
2	8	2023	2023-02-08	f21	270	259
2	8	2023	2023-02-08	f22	51	0
2	8	2023	2023-02-08	lf22	258	212
2	8	2023	2023-02-08	s22	78	52
2	8	2023	2023-02-08	w22	211	79
2	9	2023	2023-02-09	f21	270	261
2	9	2023	2023-02-09	f22	52	0
2	9	2023	2023-02-09	lf22	260	214
2	9	2023	2023-02-09	s22	79	53
2	9	2023	2023-02-09	w22	213	80
2	10	2023	2023-02-10	f21	270	262
2	10	2023	2023-02-10	f22	52	0
2	10	2023	2023-02-10	lf22	261	215
2	10	2023	2023-02-10	s22	80	53
2	10	2023	2023-02-10	w22	214	81
2	11	2023	2023-02-11	f21	270	264
2	11	2023	2023-02-11	f22	52	0
2	11	2023	2023-02-11	lf22	263	217
2	11	2023	2023-02-11	s22	80	53
2	11	2023	2023-02-11	w22	216	81
2	12	2023	2023-02-12	f21	270	266
2	12	2023	2023-02-12	f22	53	0
2	12	2023	2023-02-12	lf22	265	219
2	12	2023	2023-02-12	s22	81	54
2	12	2023	2023-02-12	w22	218	82
2	13	2023	2023-02-13	f21	270	268
2	13	2023	2023-02-13	f22	53	0
2	13	2023	2023-02-13	lf22	267	221
2	13	2023	2023-02-13	s22	82	54
2	13	2023	2023-02-13	w22	220	83
2	14	2023	2023-02-14	f21	270	269
2	14	2023	2023-02-14	f22	53	0
2	14	2023	2023-02-14	lf22	268	222
2	14	2023	2023-02-14	s22	82	54
2	14	2023	2023-02-14	w22	221	83
2	15	2023	2023-02-15	f21	270	270
2	15	2023	2023-02-15	f22	54	0
2	15	2023	2023-02-15	lf22	269	224
2	15	2023	2023-02-15	s22	83	55
2	15	2023	2023-02-15	w22	223	84
2	16	2023	2023-02-16	f22	54	0
2	16	2023	2023-02-16	lf22	270	226
2	16	2023	2023-02-16	s22	84	55
2	16	2023	2023-02-16	w22	225	85
2	17	2023	2023-02-17	f22	54	0
2	17	2023	2023-02-17	lf22	270	228
2	17	2023	2023-02-17	s22	85	55
2	17	2023	2023-02-17	w22	227	86
2	18	2023	2023-02-18	f22	55	0
2	18	2023	2023-02-18	lf22	270	230
2	18	2023	2023-02-18	s22	85	56
2	18	2023	2023-02-18	w22	229	86
2	19	2023	2023-02-19	f22	55	0
2	19	2023	2023-02-19	lf22	270	232
2	19	2023	2023-02-19	s22	86	56
2	19	2023	2023-02-19	w22	231	87
2	20	2023	2023-02-20	f22	55	0
2	20	2023	2023-02-20	lf22	270	234
2	20	2023	2023-02-20	s22	87	56
2	20	2023	2023-02-20	w22	233	88
2	21	2023	2023-02-21	f22	56	0
2	21	2023	2023-02-21	lf22	270	235
2	21	2023	2023-02-21	s22	87	57
2	21	2023	2023-02-21	w22	234	88
2	22	2023	2023-02-22	f22	56	0
2	22	2023	2023-02-22	lf22	270	237
2	22	2023	2023-02-22	s22	88	57
2	22	2023	2023-02-22	w22	236	89
2	23	2023	2023-02-23	f22	57	0
2	23	2023	2023-02-23	lf22	270	239
2	23	2023	2023-02-23	s22	89	58
2	23	2023	2023-02-23	w22	238	90
2	24	2023	2023-02-24	f22	57	0
2	24	2023	2023-02-24	lf22	270	241
2	24	2023	2023-02-24	s22	90	58
2	24	2023	2023-02-24	w22	240	91
2	25	2023	2023-02-25	f22	57	0
2	25	2023	2023-02-25	lf22	270	243
2	25	2023	2023-02-25	s22	90	58
2	25	2023	2023-02-25	w22	242	91
2	26	2023	2023-02-26	f22	58	0
2	26	2023	2023-02-26	lf22	270	245
2	26	2023	2023-02-26	s22	91	59
2	26	2023	2023-02-26	w22	244	92
2	27	2023	2023-02-27	f22	58	0
2	27	2023	2023-02-27	lf22	270	247
2	27	2023	2023-02-27	s22	92	59
2	27	2023	2023-02-27	w22	246	93
2	28	2023	2023-02-28	f22	58	0
2	28	2023	2023-02-28	lf22	270	249
2	28	2023	2023-02-28	s22	93	59
2	28	2023	2023-02-28	w22	248	94
2	29	2023	2023-02-29	f22	58	0
2	29	2023	2023-02-29	lf22	270	249
2	29	2023	2023-02-29	s22	93	59
2	29	2023	2023-02-29	w22	248	94
3	1	2023	2023-03-01	f22	59	0
3	1	2023	2023-03-01	lf22	270	251
3	1	2023	2023-03-01	s22	93	60
3	1	2023	2023-03-01	w22	250	94
3	2	2023	2023-03-02	f22	59	0
3	2	2023	2023-03-02	lf22	270	253
3	2	2023	2023-03-02	s22	94	60
3	2	2023	2023-03-02	w22	252	95
3	3	2023	2023-03-03	f22	60	0
3	3	2023	2023-03-03	lf22	270	255
3	3	2023	2023-03-03	s22	95	61
3	3	2023	2023-03-03	w22	254	96
3	4	2023	2023-03-04	f22	60	0
3	4	2023	2023-03-04	lf22	270	257
3	4	2023	2023-03-04	s22	96	61
3	4	2023	2023-03-04	w22	256	97
3	5	2023	2023-03-05	f22	60	0
3	5	2023	2023-03-05	lf22	270	260
3	5	2023	2023-03-05	s22	96	61
3	5	2023	2023-03-05	w22	259	97
3	6	2023	2023-03-06	f22	61	0
3	6	2023	2023-03-06	lf22	270	262
3	6	2023	2023-03-06	s22	97	62
3	6	2023	2023-03-06	w22	261	98
3	7	2023	2023-03-07	f22	61	0
3	7	2023	2023-03-07	lf22	270	264
3	7	2023	2023-03-07	s22	98	62
3	7	2023	2023-03-07	w22	263	99
3	8	2023	2023-03-08	f22	62	0
3	8	2023	2023-03-08	lf22	270	266
3	8	2023	2023-03-08	s22	99	63
3	8	2023	2023-03-08	w22	265	100
3	9	2023	2023-03-09	f22	62	0
3	9	2023	2023-03-09	lf22	270	268
3	9	2023	2023-03-09	s22	100	63
3	9	2023	2023-03-09	w22	267	101
3	10	2023	2023-03-10	f22	63	0
3	10	2023	2023-03-10	lf22	270	270
3	10	2023	2023-03-10	s22	100	64
3	10	2023	2023-03-10	w22	269	101
3	11	2023	2023-03-11	f22	63	0
3	11	2023	2023-03-11	s22	101	64
3	11	2023	2023-03-11	w22	272	102
3	12	2023	2023-03-12	f22	63	0
3	12	2023	2023-03-12	s22	102	64
3	12	2023	2023-03-12	w22	274	103
3	13	2023	2023-03-13	f22	64	0
3	13	2023	2023-03-13	s22	103	65
3	13	2023	2023-03-13	w22	276	104
3	14	2023	2023-03-14	f22	64	0
3	14	2023	2023-03-14	s22	104	65
3	14	2023	2023-03-14	w22	278	105
3	15	2023	2023-03-15	f22	65	0
3	15	2023	2023-03-15	s22	105	66
3	15	2023	2023-03-15	w22	281	106
3	16	2023	2023-03-16	f22	65	0
3	16	2023	2023-03-16	s22	106	66
3	16	2023	2023-03-16	w22	283	107
3	17	2023	2023-03-17	f22	66	0
3	17	2023	2023-03-17	s22	106	67
3	17	2023	2023-03-17	w22	285	107
3	18	2023	2023-03-18	f22	66	0
3	18	2023	2023-03-18	s22	107	67
3	18	2023	2023-03-18	w22	287	108
3	19	2023	2023-03-19	f22	66	0
3	19	2023	2023-03-19	s22	108	67
3	19	2023	2023-03-19	w22	290	109
3	20	2023	2023-03-20	f22	67	0
3	20	2023	2023-03-20	s22	109	68
3	20	2023	2023-03-20	w22	292	110
3	21	2023	2023-03-21	f22	67	0
3	21	2023	2023-03-21	s22	110	68
3	21	2023	2023-03-21	w22	295	111
3	22	2023	2023-03-22	f22	68	0
3	22	2023	2023-03-22	s22	111	69
3	22	2023	2023-03-22	w22	297	112
3	23	2023	2023-03-23	f22	68	0
3	23	2023	2023-03-23	s22	112	69
3	23	2023	2023-03-23	w22	299	113
3	24	2023	2023-03-24	f22	69	0
3	24	2023	2023-03-24	s22	113	70
3	24	2023	2023-03-24	w22	300	114
3	25	2023	2023-03-25	f22	69	0
3	25	2023	2023-03-25	s22	114	70
3	25	2023	2023-03-25	w22	300	115
3	26	2023	2023-03-26	f22	70	0
3	26	2023	2023-03-26	s22	115	71
3	26	2023	2023-03-26	w22	300	116
3	27	2023	2023-03-27	f22	70	0
3	27	2023	2023-03-27	s22	116	71
3	27	2023	2023-03-27	w22	300	117
3	28	2023	2023-03-28	f22	71	0
3	28	2023	2023-03-28	s22	117	72
3	28	2023	2023-03-28	w22	300	118
3	29	2023	2023-03-29	f22	71	0
3	29	2023	2023-03-29	s22	117	72
3	29	2023	2023-03-29	w22	300	118
3	30	2023	2023-03-30	f22	71	0
3	30	2023	2023-03-30	s22	118	72
3	30	2023	2023-03-30	w22	300	119
3	31	2023	2023-03-31	f22	72	0
3	31	2023	2023-03-31	s22	119	73
3	31	2023	2023-03-31	w22	300	120
4	1	2023	2023-04-01	f22	72	33
4	1	2023	2023-04-01	lf24	32	0
4	1	2023	2023-04-01	s22	120	73
4	1	2023	2023-04-01	w22	300	121
4	2	2023	2023-04-02	f22	73	33
4	2	2023	2023-04-02	lf24	32	0
4	2	2023	2023-04-02	s22	121	74
4	2	2023	2023-04-02	w22	300	122
4	3	2023	2023-04-03	f22	73	34
4	3	2023	2023-04-03	lf24	33	0
4	3	2023	2023-04-03	s22	122	74
4	3	2023	2023-04-03	w22	300	123
4	4	2023	2023-04-04	f22	74	34
4	4	2023	2023-04-04	lf24	33	0
4	4	2023	2023-04-04	s22	123	75
4	4	2023	2023-04-04	w22	300	124
4	5	2023	2023-04-05	f22	74	34
4	5	2023	2023-04-05	lf24	33	0
4	5	2023	2023-04-05	s22	124	75
4	5	2023	2023-04-05	w22	300	125
4	6	2023	2023-04-06	f22	75	34
4	6	2023	2023-04-06	lf24	33	0
4	6	2023	2023-04-06	s22	125	76
4	6	2023	2023-04-06	w22	300	126
4	7	2023	2023-04-07	f22	75	34
4	7	2023	2023-04-07	lf24	33	0
4	7	2023	2023-04-07	s22	127	76
4	7	2023	2023-04-07	w22	300	128
4	8	2023	2023-04-08	f22	76	35
4	8	2023	2023-04-08	lf24	34	0
4	8	2023	2023-04-08	s22	128	77
4	8	2023	2023-04-08	w22	300	129
4	9	2023	2023-04-09	f22	76	35
4	9	2023	2023-04-09	lf24	34	0
4	9	2023	2023-04-09	s22	129	77
4	9	2023	2023-04-09	w22	300	130
4	10	2023	2023-04-10	f22	77	35
4	10	2023	2023-04-10	lf24	34	0
4	10	2023	2023-04-10	s22	130	78
4	10	2023	2023-04-10	w22	300	131
4	11	2023	2023-04-11	f22	77	35
4	11	2023	2023-04-11	lf24	34	0
4	11	2023	2023-04-11	s22	131	78
4	11	2023	2023-04-11	w22	300	132
4	12	2023	2023-04-12	f22	78	36
4	12	2023	2023-04-12	lf24	35	0
4	12	2023	2023-04-12	s22	132	79
4	12	2023	2023-04-12	w22	300	133
4	13	2023	2023-04-13	f22	78	36
4	13	2023	2023-04-13	lf24	35	0
4	13	2023	2023-04-13	s22	133	79
4	13	2023	2023-04-13	w22	300	134
4	14	2023	2023-04-14	f22	79	36
